case_id,email_body,reference_summary,verdict(ok/edit),your_edit,notes
case-060,"For an internal audit we need copies of every invoice from the last 24 months. Is there a way to bulk-download those from the billing portal, or do we need to request them individually?",Customer requests bulk access to two years of historical invoices for an internal audit.,ok,,
case-058,"Right now every agent with 'Admin' role can also see our full billing history and card details, which our finance team isn't comfortable with. Is there a way to split billing visibility into its own permission?",Customer wants billing visibility separated from the Admin role into its own granular permission.,ok,,
case-024,想提個建議，如果 NebulaDesk 能根據工單內容自動貼標籤（像是「退款」「技術」這種），我們就不用每次手動分類了，不知道有沒有規劃這個功能？,客戶建議新增工單自動標籤分類功能，並詢問是否已在規劃中。,ok,,
case-070,我們是 non-profit 組織，想請問有沒有 discount 或 special pricing？我們的 budget 真的很有限，但很需要一個 proper 的 ticketing system。,客戶為非營利組織，詢問是否提供優惠折扣或特殊定價方案。,ok,,
case-022,我們公開給客戶看的知識庫文章裡，這禮拜開始很多截圖都變成破圖圖示，文章內容還在，只有圖片載入失敗，想確認是不是你們的圖床服務出問題了。,客戶反映知識庫文章圖片近期大量無法載入，懷疑是圖床服務異常。,ok,,
case-013,麻煩幫我們補開第二季（4-6月）三個月合併的發票，我們財務要拿去報帳，之前好像沒有收到 6 月份的發票信件。,客戶請求補發第二季合併發票，表示未收到六月份發票。,ok,,
case-068,"官網明明寫 $29/month，結果我這邊 credit card statement 顯示扣了 NT$1,250，這個匯率也太「佛心」了吧？麻煩解釋一下這中間的計算方式。",客戶質疑官網標示美金月費與信用卡實際扣款台幣金額之間的匯率換算，語氣帶諷刺。,ok,,
case-008,想請問 NebulaDesk 的後台介面除了英文之外，有沒有規劃繁體中文版？我們客服團隊有幾位同事英文不太熟，操作上會比較吃力。,客戶詢問後台介面是否有繁體中文版規劃。,ok,,
case-005,您好，我們目前是月繳方案，想改成年繳可以拿到折扣，請問要怎麼在後台切換？會不會影響到目前這個月已經付的費用？,客戶詢問如何將月繳方案切換為年繳，並確認是否影響當期已付款項。,ok,,
case-023,我們想把其中一位客服從「一般客服」調整成「主管」角色，這樣他才能看報表跟指派工單，請問要在哪個設定頁面調整？,客戶詢問如何調整團隊成員的角色權限，讓對方具備報表檢視與工單指派能力。,ok,,
case-057,"When we update a ticket's status via the API and immediately GET the same ticket, it still shows the old status for a few seconds before catching up. Is there a caching layer we should account for, or is this expected eventual consistency?","Customer observes stale data briefly returned by the API right after a ticket update, asking whether it's expected caching behavior.",ok,,
case-047,Our security team needs to review your SOC 2 Type II report before we can move forward with the enterprise contract. Is that something you can share under NDA?,Customer requests access to the SOC 2 Type II report for a security review ahead of an enterprise contract.,ok,,
case-025,帳單怎麼變貴了？,客戶簡短詢問為何帳單金額變高。,ok,,
case-019,我們不小心用兩個不同的信箱各申請了一個帳號，想請問可不可以幫我們合併成一個，資料跟訂閱都保留主要那個帳號的就好。,客戶請求合併兩個重複建立的帳號。,ok,,
case-017,我們訂閱的時候用信用卡刷的是美金 $299，但財務說報帳一定要台幣發票，想請問你們可以開立台幣的發票嗎？還是我們只能自己抓匯率換算？,客戶詢問是否能將以美金計價的訂閱費用開立台幣發票。,ok,,
case-004,請問你們平常有沒有講中文的客服可以直接電話溝通？我們團隊比較習慣中文，用 email 來回有點慢，想了解一下有沒有這個服務。,客戶詢問是否提供中文電話客服管道。,ok,,
case-010,我們客服主管的手機（iPhone 15）昨天更新完 NebulaDesk App 之後，一打開就閃退，重新安裝也一樣，其他同事的手機都正常，麻煩協助排查。,客戶反映特定 iPhone 更新 App 後開啟即閃退，其他裝置正常。,ok,,
case-015,我們的帳號今天早上登入顯示「因異常活動已暫時停用」，但我們只是同時有三個人在不同城市登入而已（我們是遠端團隊），沒有做任何違規操作，麻煩盡快恢復，不然客服團隊完全沒辦法工作。,客戶反映帳號因異常活動偵測被誤判停用，遠端團隊多地登入觸發風控，急需恢復。,ok,,
case-042,Our current account Owner is leaving the company at the end of this week. Can you walk us through the proper way to transfer account ownership to me before his access is revoked on Friday?,Customer requests guidance on transferring account ownership ahead of the current Owner's departure.,ok,,
case-063,Just wanted to say thanks to whoever ran our onboarding call last week -- our team went from confused to fully set up in under an hour. Really appreciated the patience with our 100 questions.,Customer thanks the team for a helpful onboarding call.,ok,,
case-067,想請問你們的 uptime SLA 是多少 %？我們老闆問我 vendor evaluation 的時候要附這個數字，麻煩提供一下官方的 documentation 連結。,客戶詢問服務的 uptime SLA 百分比，用於供應商評估文件。,ok,,
case-061,"New tickets created in the last hour or so aren't showing up when we search for them, even by exact ticket number, but they do appear if we browse the list manually. Feels like a search indexing delay.","Customer notices recently created tickets are missing from search results despite appearing in the manual list, suggesting an indexing delay.",ok,,
case-050,We tried to set up SSO and got an error saying our domain is already claimed by another NebulaDesk account. We only have one account that we know of -- could this be a leftover from an old trial someone on our team signed up for?,"Customer's SSO setup fails due to a domain-claim conflict, possibly from a forgotten old trial account.",ok,,
case-011,我們有一位客服專員上週離職了，他的帳號裡還有一些之前處理到一半的工單紀錄，想請問要怎麼把他的帳號權限跟工單轉移給接手的新同事？,客戶詢問如何將離職員工的帳號權限與工單紀錄轉移給接手同事。,ok,,
case-044,"If we add 5 more agent seats halfway through our billing month, are we charged the full seat price immediately or prorated for the remaining days? Trying to budget correctly before we invite the new hires.",Customer asks whether adding seats mid-cycle is billed at full price or prorated.,ok,,
case-046,"We're trying to remove a former employee from our team member list, but the 'Remove' button is greyed out. He still shows as 'Active' even though we deactivated his SSO account on our end weeks ago.",Customer is unable to remove a former employee whose team member entry remains active despite SSO deactivation.,ok,,
case-002,你好，我在串接 Webhook 通知的時候發現官方文件裡貼的 API 範例連結是 404，想確認一下是不是文件網址改版了，還是我要用哪個新的端點？我們這邊的整合工程師卡住了。,客戶反映 API 串接文件連結失效，需要新的端點資訊。,ok,,
case-054,We enabled mandatory 2FA for the whole workspace this morning and now half the team can't get past the QR code screen -- it just says 'invalid code' no matter what we enter. Can you help us troubleshoot or temporarily disable the requirement?,Customer's mandatory 2FA rollout is locking out half the team with persistent 'invalid code' errors.,ok,,
case-055,It would be great if tickets just... worked properly. Not sure what else to say.,Customer expresses vague dissatisfaction without specifying what is malfunctioning.,ok,,
case-001,您好，我們公司上個月合併之後統編跟公司抬頭都變了，這個月的發票還是開舊的名稱，麻煩幫我們之後的訂閱發票抬頭改成「星曜雲端股份有限公司」，統編也附上：12345678，謝謝。,客戶請求更新訂閱發票的公司抬頭與統一編號。,ok,,
case-007,我忘記密碼了，點忘記密碼的信件一直沒收到，麻煩幫我重設，帳號是 lin.admin@example.com，謝謝。,客戶請求協助重設密碼，表示未收到重設信件。,ok,,
case-053,"All the response-time charts on our dashboard seem to be in UTC, but our whole team is in Taipei. Is there a timezone setting we're missing, or does the reporting module not support local timezones yet?","Customer's dashboard charts display in UTC instead of their local timezone, unclear if a setting is missing.",ok,,
case-020,"你們官網寫方案 US$49/月，結帳頁卻跳出 NT$1,680，這樣到底是划算還是坑人？麻煩解釋一下匯率是怎麼算的，不然我們很難跟老闆交代。",客戶質疑官網標示美金價格與結帳頁台幣金額換算是否合理，語氣帶有質疑。,ok,,
case-064,Hi 你好，我們的 invoice 這個月的 due date 是幾號？我看 billing portal 上面沒有寫清楚，麻煩 confirm 一下，謝謝！,客戶詢問本月 invoice 的付款截止日期，表示 billing portal 上未清楚顯示。,ok,,
case-062,I need to update the email address tied to my account -- I'm switching from my old personal email to my new work email before our IT team locks down external logins. What's the process?,Customer requests to change the email address associated with their account ahead of an IT policy change.,ok,,
case-003,我們昨天邀請新同事加入團隊，結果他登入的時候顯示「已達方案人數上限，請聯絡管理員」。我是管理員，但後台的成員管理頁面又顯示還有名額，想請你們確認到底是帳號設定的問題還是我們方案本身要升級。,客戶反映團隊成員登入被系統擋下，顯示已達人數上限但後台顯示仍有名額，需釐清是帳號問題還是需升級方案。,ok,,
case-032,我們這批新進客服大概 8 個人，下週要上線，想請問有沒有現成的教育訓練影片或是可以安排一場線上教學，讓他們快速上手 NebulaDesk？,客戶詢問是否提供新進員工的教育訓練資源或線上教學安排。,ok,,
case-009,上禮拜信用卡到期換卡了，這個月扣款失敗，結果整個帳號直接被降到免費版，連我們正在處理中的客訴工單都看不到內容了。麻煩盡快處理，這樣我們沒辦法回覆客戶，會出大事。,客戶因信用卡過期扣款失敗，帳號被降級導致無法存取進行中的工單，情況緊急。,ok,,
case-026,這兩天後台載入工單列表明顯變慢，之前大概 1 秒就跑出來，現在要 5-6 秒，我們同事都有反映，想知道是不是你們那邊在做維護或是有已知的效能問題。,客戶反映後台工單列表載入速度明顯變慢，詢問是否為系統維護或已知效能問題。,ok,,
case-034,我門的系統一直讀取ㄓㄨㄥ，工單頁面卡在轉圈圈超過五分鐘還沒好，是不是你們主機又秀逗了？拜託快點修好謝謝。,客戶反映工單頁面持續讀取轉圈無法完成，疑似系統異常。,ok,,
case-059,"Does NebulaDesk have any native integration with Linear for engineering escalations, or would we need to build something custom with the API?","Customer asks whether NebulaDesk natively integrates with Linear, or requires a custom API integration.",ok,,
case-045,"When we try to export ticket data for a full quarter (about 40k tickets), the export just spins and eventually times out. Exporting a single month works fine. Is there a size limit we're hitting?","Customer's large-date-range CSV export times out, while smaller exports succeed, suggesting a size limit.",ok,,
case-027,我們資安部門要求所有 SaaS 工具都要開啟雙因素驗證（2FA），想請問 NebulaDesk 的後台要怎麼設定強制全team 開啟 2FA？,客戶詢問如何在後台為全團隊強制啟用雙因素驗證。,ok,,
case-030,我們串接的 CRM 資料同步到 NebulaDesk，正常應該是即時的，但這兩天發現客戶資料要等 15-20 分鐘才會出現在工單裡，這樣客服回覆的時候常常看不到最新狀態。,客戶反映 CRM 資料同步出現 15-20 分鐘延遲，影響客服即時查看客戶狀態。,ok,,
case-041,"Every weekday around 9am our integration starts throwing 429 rate-limit errors on the ticket-creation endpoint, then clears up by 9:30. Is our current plan's rate limit just too low for our ticket volume, or is there a burst allowance we're not configuring correctly?","Customer's integration hits rate-limit errors during a daily traffic spike, unsure whether it's a plan limit or a configuration issue.",ok,,
case-052,"We signed up for the Business plan expecting to onboard a bigger team, but we've only been using about 15% of the seats for three months now. What's the process to downgrade to Starter without losing our historical data?","Customer wants to downgrade due to low seat usage and asks about the process, including data retention.",ok,,
case-018,我們照著文件設定 Google Workspace SSO，儲存的時候一直跳「網域驗證失敗」，DNS 的 TXT 紀錄我們已經加了 24 小時了，還是一樣，麻煩幫忙看一下是不是後台那邊的問題。,客戶設定 SSO 網域驗證持續失敗，即便 DNS TXT 紀錄已生效超過 24 小時。,ok,,
case-028,想寫信謝謝你們上週幫我們處理的緊急支援，客服人員在半夜還在線上協助我們排除問題，真的救了我們一次上線危機，辛苦了！,客戶對上週的緊急技術支援表達感謝。,ok,,
case-012,又當機了，太棒了。,客戶以反諷語氣簡短抱怨系統當機。,ok,,
case-051,"Honestly, your pricing page is really hard to parse -- I can't tell what's included in Pro vs Business without opening three different tooltips. Could someone just send me a plain comparison table?",Customer finds the pricing page confusing and requests a plain plan comparison table.,ok,,
case-016,我們公司客服團隊大概 50 人，想了解一下企業方案（Enterprise）的報價方式，還有是否有專屬客戶成功經理。,客戶詢問 50 人規模團隊的企業方案報價與是否配有專屬客戶成功經理。,ok,,
case-035,目前我們帳號只有我一個人是管理員身分，想請問要怎麼再指定一位同事也擔任管理員，這樣我休假的時候他也可以處理帳號設定的事情。,客戶詢問如何新增第二位帳號管理員角色。,ok,,
case-040,"We meant to click 'upgrade to Pro' but ended up on the annual Enterprise plan instead and got charged $3,600 today. This was purely a UI mis-click on our end -- could we get this refunded and switched back to our previous monthly Pro plan?",Customer accidentally purchased the annual Enterprise plan and requests a refund plus reversion to their previous Pro plan.,ok,,
case-036,"Hi team, we recently moved offices and need our billing address updated on file before the next invoice goes out. New address: 4th Floor, 88 King Street, Toronto, ON. Can you confirm once it's changed?",Customer requests an update to their billing address before the next invoice is generated.,ok,,
case-066,麻煩幫我把我的 role 從 agent 升成 admin，我們主管 approve 了，這是他的信 forward 附在下面，謝謝協助！,客戶請求將自己的角色從 agent 升級為 admin，並附上主管核准的轉發信件。,ok,,
