metric,baseline_version,candidate_version,n,n_excluded_tie,n_excluded_missing,pass_base,pass_deg,a,b,c,d,p_raw,p_holm,p_bh,rd,ci_low,ci_high,or,family,method,ci_method,note
category_match,v1 (e0_noise repeats 0+1+2),v2a,70,0,0,61,61,60,1,1,8,1.000000,,,0.000000,-0.061017,0.061017,1.000000,sensitivity_gold_v2,mcnemar_exact,newcombe_1998_method10,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a confirmatory_holm row; Newcombe (1998) method 10, square-and-add with phi continuity correction; reproduces the paper's Table III worked example (e=20, f=12, g=2, h=16: 0.0562 to 0.3292) to the 4 dp it is printed at, and also checked by structural invariants and Monte-Carlo coverage (experiments/stats.py --coverage)"
category_match,v1 (e0_noise repeats 0+1+2),v2b,70,0,0,61,63,61,0,2,7,0.500000,,,0.028571,-0.028993,0.093886,,sensitivity_gold_v2,mcnemar_exact,newcombe_1998_method10,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a confirmatory_holm row; Newcombe (1998) method 10, square-and-add with phi continuity correction; reproduces the paper's Table III worked example (e=20, f=12, g=2, h=16: 0.0562 to 0.3292) to the 4 dp it is printed at, and also checked by structural invariants and Monte-Carlo coverage (experiments/stats.py --coverage); odds ratio undefined (b = 0)"
category_match,v1 (e0_noise repeats 0+1+2),v2c,70,0,0,61,55,52,9,3,6,0.145996,,,-0.085714,-0.189201,0.015186,0.333333,sensitivity_gold_v2,mcnemar_exact,newcombe_1998_method10,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a confirmatory_holm row; Newcombe (1998) method 10, square-and-add with phi continuity correction; reproduces the paper's Table III worked example (e=20, f=12, g=2, h=16: 0.0562 to 0.3292) to the 4 dp it is printed at, and also checked by structural invariants and Monte-Carlo coverage (experiments/stats.py --coverage)"
category_match,v1 (e0_noise repeats 0+1+2),v2d,70,0,0,61,62,61,0,1,8,1.000000,,,0.014286,-0.038493,0.071426,,sensitivity_gold_v2,mcnemar_exact,newcombe_1998_method10,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a confirmatory_holm row; Newcombe (1998) method 10, square-and-add with phi continuity correction; reproduces the paper's Table III worked example (e=20, f=12, g=2, h=16: 0.0562 to 0.3292) to the 4 dp it is printed at, and also checked by structural invariants and Monte-Carlo coverage (experiments/stats.py --coverage); odds ratio undefined (b = 0)"
passed,v1 (e0_noise repeats 0+1+2),v2a,70,0,0,61,61,60,1,1,8,1.000000,,,0.000000,-0.061017,0.061017,1.000000,sensitivity_gold_v2,mcnemar_exact,newcombe_1998_method10,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a exploratory_bh row; Newcombe (1998) method 10, square-and-add with phi continuity correction; reproduces the paper's Table III worked example (e=20, f=12, g=2, h=16: 0.0562 to 0.3292) to the 4 dp it is printed at, and also checked by structural invariants and Monte-Carlo coverage (experiments/stats.py --coverage); secondary metric, exploratory"
passed,v1 (e0_noise repeats 0+1+2),v2b,70,0,0,61,63,61,0,2,7,0.500000,,,0.028571,-0.028993,0.093886,,sensitivity_gold_v2,mcnemar_exact,newcombe_1998_method10,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a exploratory_bh row; Newcombe (1998) method 10, square-and-add with phi continuity correction; reproduces the paper's Table III worked example (e=20, f=12, g=2, h=16: 0.0562 to 0.3292) to the 4 dp it is printed at, and also checked by structural invariants and Monte-Carlo coverage (experiments/stats.py --coverage); secondary metric, exploratory; odds ratio undefined (b = 0)"
passed,v1 (e0_noise repeats 0+1+2),v2c,70,0,0,61,55,52,9,3,6,0.145996,,,-0.085714,-0.189201,0.015186,0.333333,sensitivity_gold_v2,mcnemar_exact,newcombe_1998_method10,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a exploratory_bh row; Newcombe (1998) method 10, square-and-add with phi continuity correction; reproduces the paper's Table III worked example (e=20, f=12, g=2, h=16: 0.0562 to 0.3292) to the 4 dp it is printed at, and also checked by structural invariants and Monte-Carlo coverage (experiments/stats.py --coverage); secondary metric, exploratory"
passed,v1 (e0_noise repeats 0+1+2),v2d,70,0,0,61,62,61,0,1,8,1.000000,,,0.014286,-0.038493,0.071426,,sensitivity_gold_v2,mcnemar_exact,newcombe_1998_method10,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a exploratory_bh row; Newcombe (1998) method 10, square-and-add with phi continuity correction; reproduces the paper's Table III worked example (e=20, f=12, g=2, h=16: 0.0562 to 0.3292) to the 4 dp it is printed at, and also checked by structural invariants and Monte-Carlo coverage (experiments/stats.py --coverage); secondary metric, exploratory; odds ratio undefined (b = 0)"
category_match,v1 (e0_noise repeats 0+1+2),v2a,69,0,0,61,61,60,1,1,7,1.000000,,,0.000000,-0.062720,0.062720,1.000000,sensitivity_gold_v2,mcnemar_exact,newcombe_1998_method10,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a sensitivity_drop_leaked_case row; Newcombe (1998) method 10, square-and-add with phi continuity correction; reproduces the paper's Table III worked example (e=20, f=12, g=2, h=16: 0.0562 to 0.3292) to the 4 dp it is printed at, and also checked by structural invariants and Monte-Carlo coverage (experiments/stats.py --coverage); PREREGISTRATION section 10.10.1 sensitivity analysis, case-043 dropped from the pairing; no multiplicity adjustment, read p_raw"
category_match,v1 (e0_noise repeats 0+1+2),v2b,69,0,0,61,63,61,0,2,6,0.500000,,,0.028986,-0.029846,0.096438,,sensitivity_gold_v2,mcnemar_exact,newcombe_1998_method10,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a sensitivity_drop_leaked_case row; Newcombe (1998) method 10, square-and-add with phi continuity correction; reproduces the paper's Table III worked example (e=20, f=12, g=2, h=16: 0.0562 to 0.3292) to the 4 dp it is printed at, and also checked by structural invariants and Monte-Carlo coverage (experiments/stats.py --coverage); PREREGISTRATION section 10.10.1 sensitivity analysis, case-043 dropped from the pairing; no multiplicity adjustment, read p_raw; odds ratio undefined (b = 0)"
