family,exp_id,prompt_version,metric,unit,stratum_kind,stratum,n,k,estimate,wilson_lo,wilson_hi,ci_width,n_rest,k_rest,estimate_rest,difference,fisher_p,p_bh,n_in_bh_family,n_excluded_tie,ci_method,test,note
sensitivity_gold_v2,e0_noise,v1,category_match,case,overall,all,70,61,0.871429,0.773352,0.930859,0.157507,,,,,,,,0,wilson,,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a descriptive row; one outcome per case, repeats collapsed by majority vote (docs/PREREGISTRATION.md section 10.4), so n is a count of emails, not of calls"
sensitivity_gold_v2,e0_noise,v1,category_match,case,language,zh-tw,35,30,0.857143,0.706244,0.937398,0.231153,35,31,0.885714,-0.028571,1.000000,,10,0,wilson,fisher_exact_conditional,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a exploratory_bh_strata_baseline row; members are the consecutive block case-001..case-035, written as one quota fill rather than drawn across the dataset"
sensitivity_gold_v2,e0_noise,v1,category_match,case,language,en,28,24,0.857143,0.685102,0.943010,0.257908,42,37,0.880952,-0.023810,1.000000,,10,0,wilson,fisher_exact_conditional,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a exploratory_bh_strata_baseline row; members are the consecutive block case-036..case-063, written as one quota fill rather than drawn across the dataset"
sensitivity_gold_v2,e0_noise,v1,category_match,case,language,mixed,7,7,1.000000,0.645670,1.000000,0.354330,63,54,0.857143,0.142857,0.583134,,10,0,wilson,fisher_exact_conditional,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a exploratory_bh_strata_baseline row; members are the consecutive block case-064..case-070, written as one quota fill rather than drawn across the dataset"
sensitivity_gold_v2,e0_noise,v1,category_match,case,difficulty,easy,45,42,0.933333,0.821434,0.977068,0.155634,25,19,0.760000,0.173333,0.060366,,10,0,wilson,fisher_exact_conditional,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a exploratory_bh_strata_baseline row; 45 cases, not a consecutive block"
sensitivity_gold_v2,e0_noise,v1,category_match,case,difficulty,ambiguous,17,15,0.882353,0.656636,0.967120,0.310484,53,46,0.867925,0.014428,1.000000,,10,0,wilson,fisher_exact_conditional,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a exploratory_bh_strata_baseline row; 17 cases, not a consecutive block"
sensitivity_gold_v2,e0_noise,v1,category_match,case,difficulty,edge,8,4,0.500000,0.215216,0.784784,0.569568,62,57,0.919355,-0.419355,0.007462,,10,0,wilson,fisher_exact_conditional,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a exploratory_bh_strata_baseline row; members: case-012, case-015, case-020, case-025, case-034, case-043, case-055, case-068"
sensitivity_gold_v2,e0_noise,v1,category_match,case,category,billing,20,18,0.900000,0.698966,0.972134,0.273167,50,43,0.860000,0.040000,1.000000,,10,0,wilson,fisher_exact_conditional,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a exploratory_bh_strata_baseline row; 20 cases, not a consecutive block"
sensitivity_gold_v2,e0_noise,v1,category_match,case,category,technical,20,17,0.850000,0.639581,0.947631,0.308050,50,44,0.880000,-0.030000,0.708181,,10,0,wilson,fisher_exact_conditional,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a exploratory_bh_strata_baseline row; 20 cases, not a consecutive block"
sensitivity_gold_v2,e0_noise,v1,category_match,case,category,general,16,12,0.750000,0.505017,0.898179,0.393162,54,49,0.907407,-0.157407,0.194835,,10,0,wilson,fisher_exact_conditional,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a exploratory_bh_strata_baseline row; 16 cases, not a consecutive block"
sensitivity_gold_v2,e0_noise,v1,category_match,case,category,account,14,14,1.000000,0.784689,1.000000,0.215311,56,47,0.839286,0.160714,0.187959,,10,0,wilson,fisher_exact_conditional,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a exploratory_bh_strata_baseline row; 14 cases, not a consecutive block"
sensitivity_gold_v2,e1_v2a,v2a,category_match,case,overall,all,70,61,0.871429,0.773352,0.930859,0.157507,,,,,,,,0,wilson,,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a descriptive row; one outcome per case, repeats collapsed by majority vote (docs/PREREGISTRATION.md section 10.4), so n is a count of emails, not of calls"
sensitivity_gold_v2,e1_v2a,v2a,category_match,case,language,zh-tw,35,29,0.828571,0.673177,0.918974,0.245796,35,32,0.914286,-0.085714,0.477263,,40,0,wilson,fisher_exact_conditional,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a exploratory_bh_strata_degraded row; members are the consecutive block case-001..case-035, written as one quota fill rather than drawn across the dataset"
sensitivity_gold_v2,e1_v2a,v2a,category_match,case,language,en,28,25,0.892857,0.728041,0.962882,0.234840,42,36,0.857143,0.035714,0.732178,,40,0,wilson,fisher_exact_conditional,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a exploratory_bh_strata_degraded row; members are the consecutive block case-036..case-063, written as one quota fill rather than drawn across the dataset"
sensitivity_gold_v2,e1_v2a,v2a,category_match,case,language,mixed,7,7,1.000000,0.645670,1.000000,0.354330,63,54,0.857143,0.142857,0.583134,,40,0,wilson,fisher_exact_conditional,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a exploratory_bh_strata_degraded row; members are the consecutive block case-064..case-070, written as one quota fill rather than drawn across the dataset"
sensitivity_gold_v2,e1_v2a,v2a,category_match,case,difficulty,easy,45,42,0.933333,0.821434,0.977068,0.155634,25,19,0.760000,0.173333,0.060366,,40,0,wilson,fisher_exact_conditional,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a exploratory_bh_strata_degraded row; 45 cases, not a consecutive block"
sensitivity_gold_v2,e1_v2a,v2a,category_match,case,difficulty,ambiguous,17,14,0.823529,0.589705,0.938089,0.348383,53,47,0.886792,-0.063263,0.677652,,40,0,wilson,fisher_exact_conditional,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a exploratory_bh_strata_degraded row; 17 cases, not a consecutive block"
sensitivity_gold_v2,e1_v2a,v2a,category_match,case,difficulty,edge,8,5,0.625000,0.305742,0.863156,0.557413,62,56,0.903226,-0.278226,0.060397,,40,0,wilson,fisher_exact_conditional,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a exploratory_bh_strata_degraded row; members: case-012, case-015, case-020, case-025, case-034, case-043, case-055, case-068"
sensitivity_gold_v2,e1_v2a,v2a,category_match,case,category,billing,20,17,0.850000,0.639581,0.947631,0.308050,50,44,0.880000,-0.030000,0.708181,,40,0,wilson,fisher_exact_conditional,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a exploratory_bh_strata_degraded row; 20 cases, not a consecutive block"
sensitivity_gold_v2,e1_v2a,v2a,category_match,case,category,technical,20,17,0.850000,0.639581,0.947631,0.308050,50,44,0.880000,-0.030000,0.708181,,40,0,wilson,fisher_exact_conditional,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a exploratory_bh_strata_degraded row; 20 cases, not a consecutive block"
sensitivity_gold_v2,e1_v2a,v2a,category_match,case,category,general,16,13,0.812500,0.569911,0.934084,0.364173,54,48,0.888889,-0.076389,0.417231,,40,0,wilson,fisher_exact_conditional,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a exploratory_bh_strata_degraded row; 16 cases, not a consecutive block"
sensitivity_gold_v2,e1_v2a,v2a,category_match,case,category,account,14,14,1.000000,0.784689,1.000000,0.215311,56,47,0.839286,0.160714,0.187959,,40,0,wilson,fisher_exact_conditional,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a exploratory_bh_strata_degraded row; 14 cases, not a consecutive block"
sensitivity_gold_v2,e1_v2b,v2b,category_match,case,overall,all,70,63,0.900000,0.807671,0.950711,0.143040,,,,,,,,0,wilson,,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a descriptive row; one outcome per case, repeats collapsed by majority vote (docs/PREREGISTRATION.md section 10.4), so n is a count of emails, not of calls"
sensitivity_gold_v2,e1_v2b,v2b,category_match,case,language,zh-tw,35,31,0.885714,0.740485,0.954648,0.214163,35,32,0.914286,-0.028571,1.000000,,40,0,wilson,fisher_exact_conditional,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a exploratory_bh_strata_degraded row; members are the consecutive block case-001..case-035, written as one quota fill rather than drawn across the dataset"
sensitivity_gold_v2,e1_v2b,v2b,category_match,case,language,en,28,25,0.892857,0.728041,0.962882,0.234840,42,38,0.904762,-0.011905,1.000000,,40,0,wilson,fisher_exact_conditional,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a exploratory_bh_strata_degraded row; members are the consecutive block case-036..case-063, written as one quota fill rather than drawn across the dataset"
