metric,candidate_version,n,alpha,alpha_basis,power,mc_se,n_sim,seed,n_observed_pairs,observed_b,observed_c,mean_b,mean_c,method,note
category_match,v2a,30,0.050000,nominal,0.000000,0.000000,2000,20260920,70,1,1,0.418000,0.425500,case_resampling_conditional_power_mcnemar_exact,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; simulated by resampling the observed pairs with replacement; conditional on the observed effect, not a design power calculation"
category_match,v2a,30,0.012500,holm_worst_case,0.000000,0.000000,2000,20260920,70,1,1,0.418000,0.425500,case_resampling_conditional_power_mcnemar_exact,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; simulated by resampling the observed pairs with replacement; conditional on the observed effect, not a design power calculation"
category_match,v2a,50,0.050000,nominal,0.000000,0.000000,2000,20260920,70,1,1,0.711500,0.706500,case_resampling_conditional_power_mcnemar_exact,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; simulated by resampling the observed pairs with replacement; conditional on the observed effect, not a design power calculation"
category_match,v2a,50,0.012500,holm_worst_case,0.000000,0.000000,2000,20260920,70,1,1,0.711500,0.706500,case_resampling_conditional_power_mcnemar_exact,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; simulated by resampling the observed pairs with replacement; conditional on the observed effect, not a design power calculation"
category_match,v2a,70,0.050000,nominal,0.000000,0.000000,2000,20260920,70,1,1,1.040000,0.981000,case_resampling_conditional_power_mcnemar_exact,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; simulated by resampling the observed pairs with replacement; conditional on the observed effect, not a design power calculation"
category_match,v2a,70,0.012500,holm_worst_case,0.000000,0.000000,2000,20260920,70,1,1,1.040000,0.981000,case_resampling_conditional_power_mcnemar_exact,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; simulated by resampling the observed pairs with replacement; conditional on the observed effect, not a design power calculation"
category_match,v2b,30,0.050000,nominal,0.000000,0.000000,2000,20260920,70,0,2,0.000000,0.843000,case_resampling_conditional_power_mcnemar_exact,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; simulated by resampling the observed pairs with replacement; conditional on the observed effect, not a design power calculation"
category_match,v2b,30,0.012500,holm_worst_case,0.000000,0.000000,2000,20260920,70,0,2,0.000000,0.843000,case_resampling_conditional_power_mcnemar_exact,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; simulated by resampling the observed pairs with replacement; conditional on the observed effect, not a design power calculation"
category_match,v2b,50,0.050000,nominal,0.004000,0.001411,2000,20260920,70,0,2,0.000000,1.392500,case_resampling_conditional_power_mcnemar_exact,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; simulated by resampling the observed pairs with replacement; conditional on the observed effect, not a design power calculation"
category_match,v2b,50,0.012500,holm_worst_case,0.000500,0.000500,2000,20260920,70,0,2,0.000000,1.392500,case_resampling_conditional_power_mcnemar_exact,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; simulated by resampling the observed pairs with replacement; conditional on the observed effect, not a design power calculation"
category_match,v2b,70,0.050000,nominal,0.013500,0.002580,2000,20260920,70,0,2,0.000000,1.980000,case_resampling_conditional_power_mcnemar_exact,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; simulated by resampling the observed pairs with replacement; conditional on the observed effect, not a design power calculation"
category_match,v2b,70,0.012500,holm_worst_case,0.001000,0.000707,2000,20260920,70,0,2,0.000000,1.980000,case_resampling_conditional_power_mcnemar_exact,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; simulated by resampling the observed pairs with replacement; conditional on the observed effect, not a design power calculation"
category_match,v2c,30,0.050000,nominal,0.056500,0.005163,2000,20260920,70,9,3,3.799000,1.335500,case_resampling_conditional_power_mcnemar_exact,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; simulated by resampling the observed pairs with replacement; conditional on the observed effect, not a design power calculation"
category_match,v2c,30,0.012500,holm_worst_case,0.010500,0.002279,2000,20260920,70,9,3,3.799000,1.335500,case_resampling_conditional_power_mcnemar_exact,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; simulated by resampling the observed pairs with replacement; conditional on the observed effect, not a design power calculation"
category_match,v2c,50,0.050000,nominal,0.200000,0.008944,2000,20260920,70,9,3,6.428000,2.116500,case_resampling_conditional_power_mcnemar_exact,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; simulated by resampling the observed pairs with replacement; conditional on the observed effect, not a design power calculation"
category_match,v2c,50,0.012500,holm_worst_case,0.076000,0.005926,2000,20260920,70,9,3,6.428000,2.116500,case_resampling_conditional_power_mcnemar_exact,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; simulated by resampling the observed pairs with replacement; conditional on the observed effect, not a design power calculation"
category_match,v2c,70,0.050000,nominal,0.291000,0.010157,2000,20260920,70,9,3,8.957500,3.059000,case_resampling_conditional_power_mcnemar_exact,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; simulated by resampling the observed pairs with replacement; conditional on the observed effect, not a design power calculation"
category_match,v2c,70,0.012500,holm_worst_case,0.117000,0.007187,2000,20260920,70,9,3,8.957500,3.059000,case_resampling_conditional_power_mcnemar_exact,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; simulated by resampling the observed pairs with replacement; conditional on the observed effect, not a design power calculation"
category_match,v2d,30,0.050000,nominal,0.000000,0.000000,2000,20260920,70,0,1,0.000000,0.465500,case_resampling_conditional_power_mcnemar_exact,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; simulated by resampling the observed pairs with replacement; conditional on the observed effect, not a design power calculation"
category_match,v2d,30,0.012500,holm_worst_case,0.000000,0.000000,2000,20260920,70,0,1,0.000000,0.465500,case_resampling_conditional_power_mcnemar_exact,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; simulated by resampling the observed pairs with replacement; conditional on the observed effect, not a design power calculation"
