family,rater_a,rater_b,n,n_excluded,po,pe,kappa,boot_ci_low,boot_ci_high,n_boot,seed,landis_koch,method,note
descriptive,human-1 (gold),model:claude-haiku-4-5,70,0,0.928571,0.250816,0.904658,0.809264,0.980556,10000,20260920,almost perfect,cohen_kappa,"Cohen (1960) kappa on one label per case; interval is a percentile bootstrap over cases (one case = one unit), so it reflects sampling of these 70 emails and not annotator variance; band names are Landis & Koch (1977) Table 1, a convention for reading the number, not a test; human-1 (gold) is the shipped v1.1 label set, agent-drafted and author-confirmed on 2026-07-20, not an independent human annotation (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19); this row therefore measures a model against labels a model drafted, and how much of the agreement that shared origin buys is not estimable from this design"
descriptive,human-1 (gold),model:claude-sonnet-5,70,0,0.928571,0.251020,0.904632,0.809783,0.980577,10000,20260920,almost perfect,cohen_kappa,"Cohen (1960) kappa on one label per case; interval is a percentile bootstrap over cases (one case = one unit), so it reflects sampling of these 70 emails and not annotator variance; band names are Landis & Koch (1977) Table 1, a convention for reading the number, not a test; human-1 (gold) is the shipped v1.1 label set, agent-drafted and author-confirmed on 2026-07-20, not an independent human annotation (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19); this row therefore measures a model against labels a model drafted, and how much of the agreement that shared origin buys is not estimable from this design"
descriptive,model:claude-haiku-4-5,model:claude-sonnet-5,70,0,0.971429,0.253469,0.961728,0.902180,1.000000,10000,20260920,almost perfect,cohen_kappa,"Cohen (1960) kappa on one label per case; interval is a percentile bootstrap over cases (one case = one unit), so it reflects sampling of these 70 emails and not annotator variance; band names are Landis & Koch (1977) Table 1, a convention for reading the number, not a test"
descriptive,human-1 (gold),A1 (author),70,0,0.800000,0.252857,0.732314,0.599564,0.846365,10000,20260920,substantial,cohen_kappa,"Cohen (1960) kappa on one label per case; interval is a percentile bootstrap over cases (one case = one unit), so it reflects sampling of these 70 emails and not annotator variance; band names are Landis & Koch (1977) Table 1, a convention for reading the number, not a test; human-1 (gold) is the shipped v1.1 label set, agent-drafted and author-confirmed on 2026-07-20, not an independent human annotation (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19)"
descriptive,human-1 (gold),A2 (outside),70,0,0.871429,0.251429,0.828244,0.714441,0.923119,10000,20260920,almost perfect,cohen_kappa,"Cohen (1960) kappa on one label per case; interval is a percentile bootstrap over cases (one case = one unit), so it reflects sampling of these 70 emails and not annotator variance; band names are Landis & Koch (1977) Table 1, a convention for reading the number, not a test; human-1 (gold) is the shipped v1.1 label set, agent-drafted and author-confirmed on 2026-07-20, not an independent human annotation (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19)"
descriptive,human-1 (gold),A3 (outside),70,0,0.842857,0.251429,0.790076,0.668154,0.900653,10000,20260920,substantial,cohen_kappa,"Cohen (1960) kappa on one label per case; interval is a percentile bootstrap over cases (one case = one unit), so it reflects sampling of these 70 emails and not annotator variance; band names are Landis & Koch (1977) Table 1, a convention for reading the number, not a test; human-1 (gold) is the shipped v1.1 label set, agent-drafted and author-confirmed on 2026-07-20, not an independent human annotation (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19)"
descriptive,A1 (author),A2 (outside),70,0,0.800000,0.258367,0.730325,0.595041,0.845773,10000,20260920,substantial,cohen_kappa,"Cohen (1960) kappa on one label per case; interval is a percentile bootstrap over cases (one case = one unit), so it reflects sampling of these 70 emails and not annotator variance; band names are Landis & Koch (1977) Table 1, a convention for reading the number, not a test"
descriptive,A1 (author),A3 (outside),70,0,0.728571,0.253469,0.636413,0.493036,0.767699,10000,20260920,substantial,cohen_kappa,"Cohen (1960) kappa on one label per case; interval is a percentile bootstrap over cases (one case = one unit), so it reflects sampling of these 70 emails and not annotator variance; band names are Landis & Koch (1977) Table 1, a convention for reading the number, not a test"
descriptive,A2 (outside),A3 (outside),70,0,0.771429,0.251020,0.694823,0.556107,0.809938,10000,20260920,substantial,cohen_kappa,"Cohen (1960) kappa on one label per case; interval is a percentile bootstrap over cases (one case = one unit), so it reflects sampling of these 70 emails and not annotator variance; band names are Landis & Koch (1977) Table 1, a convention for reading the number, not a test"
descriptive,A1 (author),model:claude-haiku-4-5,70,0,0.757143,0.252653,0.675041,0.536040,0.805231,10000,20260920,substantial,cohen_kappa,"Cohen (1960) kappa on one label per case; interval is a percentile bootstrap over cases (one case = one unit), so it reflects sampling of these 70 emails and not annotator variance; band names are Landis & Koch (1977) Table 1, a convention for reading the number, not a test"
