case_id,email_body,your_label,notes
case-060,"For an internal audit we need copies of every invoice from the last 24 months. Is there a way to bulk-download those from the billing portal, or do we need to request them individually?",technical,
case-058,"Right now every agent with 'Admin' role can also see our full billing history and card details, which our finance team isn't comfortable with. Is there a way to split billing visibility into its own permission?",account,
case-024,想提個建議，如果 NebulaDesk 能根據工單內容自動貼標籤（像是「退款」「技術」這種），我們就不用每次手動分類了，不知道有沒有規劃這個功能？,technical,
case-070,我們是 non-profit 組織，想請問有沒有 discount 或 special pricing？我們的 budget 真的很有限，但很需要一個 proper 的 ticketing system。,billing,
case-022,我們公開給客戶看的知識庫文章裡，這禮拜開始很多截圖都變成破圖圖示，文章內容還在，只有圖片載入失敗，想確認是不是你們的圖床服務出問題了。,technical,
case-013,麻煩幫我們補開第二季（4-6月）三個月合併的發票，我們財務要拿去報帳，之前好像沒有收到 6 月份的發票信件。,billing,
case-068,"官網明明寫 $29/month，結果我這邊 credit card statement 顯示扣了 NT$1,250，這個匯率也太「佛心」了吧？麻煩解釋一下這中間的計算方式。",billing,
case-008,想請問 NebulaDesk 的後台介面除了英文之外，有沒有規劃繁體中文版？我們客服團隊有幾位同事英文不太熟，操作上會比較吃力。,general,
case-005,您好，我們目前是月繳方案，想改成年繳可以拿到折扣，請問要怎麼在後台切換？會不會影響到目前這個月已經付的費用？,billing,
case-023,我們想把其中一位客服從「一般客服」調整成「主管」角色，這樣他才能看報表跟指派工單，請問要在哪個設定頁面調整？,account,
case-057,"When we update a ticket's status via the API and immediately GET the same ticket, it still shows the old status for a few seconds before catching up. Is there a caching layer we should account for, or is this expected eventual consistency?",technical,
case-047,Our security team needs to review your SOC 2 Type II report before we can move forward with the enterprise contract. Is that something you can share under NDA?,technical,
case-025,帳單怎麼變貴了？,billing,
case-019,我們不小心用兩個不同的信箱各申請了一個帳號，想請問可不可以幫我們合併成一個，資料跟訂閱都保留主要那個帳號的就好。,account,
case-017,我們訂閱的時候用信用卡刷的是美金 $299，但財務說報帳一定要台幣發票，想請問你們可以開立台幣的發票嗎？還是我們只能自己抓匯率換算？,billing,
case-004,請問你們平常有沒有講中文的客服可以直接電話溝通？我們團隊比較習慣中文，用 email 來回有點慢，想了解一下有沒有這個服務。,general,
case-010,我們客服主管的手機（iPhone 15）昨天更新完 NebulaDesk App 之後，一打開就閃退，重新安裝也一樣，其他同事的手機都正常，麻煩協助排查。,technical,
case-015,我們的帳號今天早上登入顯示「因異常活動已暫時停用」，但我們只是同時有三個人在不同城市登入而已（我們是遠端團隊），沒有做任何違規操作，麻煩盡快恢復，不然客服團隊完全沒辦法工作。,technical,
case-042,Our current account Owner is leaving the company at the end of this week. Can you walk us through the proper way to transfer account ownership to me before his access is revoked on Friday?,account,
case-063,Just wanted to say thanks to whoever ran our onboarding call last week -- our team went from confused to fully set up in under an hour. Really appreciated the patience with our 100 questions.,general,
case-067,想請問你們的 uptime SLA 是多少 %？我們老闆問我 vendor evaluation 的時候要附這個數字，麻煩提供一下官方的 documentation 連結。,general,
case-061,"New tickets created in the last hour or so aren't showing up when we search for them, even by exact ticket number, but they do appear if we browse the list manually. Feels like a search indexing delay.",technical,
