model_id,family,data,formula,n_obs,n_clusters,fitted,term,reference_level,coefficient,std_error,se_type,z,p_value,odds_ratio,or_ci_low,or_ci_high,converged,method,note
m1_pooled_arms,sensitivity_gold_v2,e0_noise:v1+e1_v2a:v2a+e1_v2b:v2b+e1_v2c:v2c+e1_v2d:v2d,category_match ~ language + difficulty + category,1190,70,yes,const,,3.118886,1.002104,"cluster_robust_by_case (statsmodels cov_type=cluster, HC1-style within-cluster sum)",3.112338,0.001856,22.621159,3.173383,161.252772,yes,logit_cluster_robust,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a primary row; exploratory; p-values here are not BH-adjusted and are not part of any family"
m1_pooled_arms,sensitivity_gold_v2,e0_noise:v1+e1_v2a:v2a+e1_v2b:v2b+e1_v2c:v2c+e1_v2d:v2d,category_match ~ language + difficulty + category,1190,70,yes,language[en],zh-tw,-0.297706,0.592093,"cluster_robust_by_case (statsmodels cov_type=cluster, HC1-style within-cluster sum)",-0.502802,0.615103,0.742520,0.232658,2.369728,yes,logit_cluster_robust,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a primary row; exploratory; p-values here are not BH-adjusted and are not part of any family"
m1_pooled_arms,sensitivity_gold_v2,e0_noise:v1+e1_v2a:v2a+e1_v2b:v2b+e1_v2c:v2c+e1_v2d:v2d,category_match ~ language + difficulty + category,1190,70,yes,language[mixed],zh-tw,1.546354,0.788672,"cluster_robust_by_case (statsmodels cov_type=cluster, HC1-style within-cluster sum)",1.960708,0.049913,4.694325,1.000587,22.023766,yes,logit_cluster_robust,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a primary row; exploratory; p-values here are not BH-adjusted and are not part of any family"
m1_pooled_arms,sensitivity_gold_v2,e0_noise:v1+e1_v2a:v2a+e1_v2b:v2b+e1_v2c:v2c+e1_v2d:v2d,category_match ~ language + difficulty + category,1190,70,yes,difficulty[ambiguous],easy,-0.986038,0.843679,"cluster_robust_by_case (statsmodels cov_type=cluster, HC1-style within-cluster sum)",-1.168735,0.242510,0.373052,0.071388,1.949442,yes,logit_cluster_robust,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a primary row; exploratory; p-values here are not BH-adjusted and are not part of any family"
m1_pooled_arms,sensitivity_gold_v2,e0_noise:v1+e1_v2a:v2a+e1_v2b:v2b+e1_v2c:v2c+e1_v2d:v2d,category_match ~ language + difficulty + category,1190,70,yes,difficulty[edge],easy,-2.346571,0.778222,"cluster_robust_by_case (statsmodels cov_type=cluster, HC1-style within-cluster sum)",-3.015296,0.002567,0.095697,0.020820,0.439867,yes,logit_cluster_robust,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a primary row; exploratory; p-values here are not BH-adjusted and are not part of any family"
m1_pooled_arms,sensitivity_gold_v2,e0_noise:v1+e1_v2a:v2a+e1_v2b:v2b+e1_v2c:v2c+e1_v2d:v2d,category_match ~ language + difficulty + category,1190,70,yes,category[technical],billing,-0.384885,1.026684,"cluster_robust_by_case (statsmodels cov_type=cluster, HC1-style within-cluster sum)",-0.374882,0.707748,0.680529,0.090977,5.090512,yes,logit_cluster_robust,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a primary row; exploratory; p-values here are not BH-adjusted and are not part of any family"
m1_pooled_arms,sensitivity_gold_v2,e0_noise:v1+e1_v2a:v2a+e1_v2b:v2b+e1_v2c:v2c+e1_v2d:v2d,category_match ~ language + difficulty + category,1190,70,yes,category[general],billing,-1.451986,1.021664,"cluster_robust_by_case (statsmodels cov_type=cluster, HC1-style within-cluster sum)",-1.421197,0.155259,0.234105,0.031606,1.734014,yes,logit_cluster_robust,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a primary row; exploratory; p-values here are not BH-adjusted and are not part of any family"
m1_pooled_arms,sensitivity_gold_v2,e0_noise:v1+e1_v2a:v2a+e1_v2b:v2b+e1_v2c:v2c+e1_v2d:v2d,category_match ~ language + difficulty + category,1190,70,yes,category[account],billing,-0.047796,1.049899,"cluster_robust_by_case (statsmodels cov_type=cluster, HC1-style within-cluster sum)",-0.045524,0.963689,0.953328,0.121777,7.463078,yes,logit_cluster_robust,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a primary row; exploratory; p-values here are not BH-adjusted and are not part of any family"
m2_baseline_arm_only,sensitivity_gold_v2,e0_noise:v1,category_match ~ language + difficulty + category,350,70,no,(model not fitted),,,,"cluster_robust_by_case (statsmodels cov_type=cluster, HC1-style within-cluster sum)",,,,,,,logit_cluster_robust,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a sensitivity row; not fitted: separation. These levels have a constant outcome, so their maximum-likelihood coefficients are unbounded: language[mixed]=35/35; category[account]=70/70. Firth penalised likelihood not run: no validated implementation is available here (statsmodels 0.15.0 has none and firthlogist is not installed), and this package does not ship an unvalidated one. Recorded as not done rather than approximated."
m3_pooled_plus_version_term,sensitivity_gold_v2,e0_noise:v1+e1_v2a:v2a+e1_v2b:v2b+e1_v2c:v2c+e1_v2d:v2d,category_match ~ language + difficulty + category + prompt_version,1190,70,yes,const,,3.246078,1.089718,"cluster_robust_by_case (statsmodels cov_type=cluster, HC1-style within-cluster sum)",2.978824,0.002894,25.689391,3.035177,217.432058,yes,logit_cluster_robust,"recomputed on gold v2, the majority label of the three blind human annotators (docs/PREREGISTRATION.md section 9, entry dated 2026-09-19). Sensitivity analysis, not confirmatory: no multiplicity correction is applied to this family, the adjusted p-value columns are empty, and p_raw is the p-value to read. The v1.1 version of this row is the pre-registered result and is in the file of the same name without the gold_v2 suffix; this row is the gold v2 version of a sensitivity row; exploratory; p-values here are not BH-adjusted and are not part of any family"
